No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,,,,,,,,,,,,Time 2,Time 1,Delay,Delay 2,Delay 1,Jitter
2873,47.838629,172.217.27.3,192.168.43.163,TLSv1.3,173,Application Data,,,,,,,,,,,,,,,,,,47.83873,47.838629,0.000101,5E-06,9.6E-05,-9.1E-05
2874,47.83873,192.168.43.163,172.217.27.3,TCP,54,51092  >  443 [ACK] Seq=518 Ack=2920 Win=65800 Len=0,,,,,,,,,,,,,,,,,,47.838735,47.83873,5E-06,0.013025,-0.01302,0.026045
2875,47.838735,192.168.43.163,172.217.27.3,TCP,54,[TCP Dup ACK 2874#1] 51092  >  443 [ACK] Seq=518 Ack=2920 Win=65800 Len=0,,,,,,,,,,,,,,,,,,47.85176,47.838735,0.013025,4E-06,0.013021,-0.013017
2877,47.85176,192.168.43.163,172.217.27.3,TLSv1.3,118,"Change Cipher Spec, Application Data",,,,,,,,,,,,,,,,,,47.851764,47.85176,4E-06,0.000613,-0.000609,0.001222
2879,47.851764,192.168.43.163,172.217.27.3,TCP,118,"[TCP Retransmission] 51092  >  443 [PSH, ACK] Seq=518 Ack=2920 Win=65800 Len=64",,,,,,,,,,,,,,,,,,47.852377,47.851764,0.000613,7E-06,0.000606,-0.000599
2880,47.852377,192.168.43.163,172.217.27.3,TLSv1.3,146,Application Data,,,,,,,,,,,,,,,,,,47.852384,47.852377,7E-06,0.000287,-0.00028,0.000567
2881,47.852384,192.168.43.163,172.217.27.3,TCP,146,"[TCP Retransmission] 51092  >  443 [PSH, ACK] Seq=582 Ack=2920 Win=65800 Len=92",,,,,,,,,,,,,,,,,,47.852671,47.852384,0.000287,4E-06,0.000283,-0.000279
2882,47.852671,192.168.43.163,172.217.27.3,TLSv1.3,821,Application Data,,,,,,,,,,,,,,,,,,47.852675,47.852671,4E-06,8.3E-05,-7.9E-05,0.000162
2883,47.852675,192.168.43.163,172.217.27.3,TCP,821,"[TCP Retransmission] 51092  >  443 [PSH, ACK] Seq=674 Ack=2920 Win=65800 Len=767",,,,,,,,,,,,,,,,,,47.852758,47.852675,8.3E-05,4E-06,7.9E-05,-7.5E-05
2884,47.852758,192.168.43.163,172.217.27.3,TCP,1454,51092  >  443 [ACK] Seq=1441 Ack=2920 Win=65800 Len=1400 [TCP segment of a reassembled PDU],,,,,,,,,,,,,,,,,,47.852762,47.852758,4E-06,0.054559,-0.054555,0.109114
2885,47.852762,192.168.43.163,172.217.27.3,TCP,1454,[TCP Retransmission] 51092  >  443 [ACK] Seq=1441 Ack=2920 Win=65800 Len=1400,,,,,,,,,,,,,,,,,,47.907321,47.852762,0.054559,0.00583,0.048729,-0.042899
2886,47.907321,172.217.27.3,192.168.43.163,TCP,54,443  >  51092 [ACK] Seq=2920 Ack=674 Win=23072 Len=0,,,,,,,,,,,,,,,,,,47.913151,47.907321,0.00583,7E-05,0.00576,-0.00569
2887,47.913151,172.217.27.3,192.168.43.163,TCP,54,443  >  51092 [ACK] Seq=2920 Ack=1441 Win=23840 Len=0,,,,,,,,,,,,,,,,,,47.913221,47.913151,7E-05,0,7E-05,-7E-05
2888,47.913221,192.168.43.163,172.217.27.3,TCP,1454,51092  >  443 [ACK] Seq=2841 Ack=2920 Win=65800 Len=1400 [TCP segment of a reassembled PDU],,,,,,,,,,,,,,,,,,47.913221,47.913221,0,1.2E-05,-1.2E-05,2.4E-05
2889,47.913221,192.168.43.163,172.217.27.3,TLSv1.3,1454,Application Data [TCP segment of a reassembled PDU],,,,,,,,,,,,,,,,,,47.913233,47.913221,1.2E-05,1.4E-05,-2E-06,1.6E-05
2890,47.913233,192.168.43.163,172.217.27.3,TCP,1454,"[TCP Out-Of-Order] 51092  >  443 [ACK] Seq=2841 Ack=2920 Win=65800 Len=1400[Reassembly error, protocol TCP: New fragment overlaps old data (retransmission?)]",,,,,,,,,,,,,,,,,,47.913247,47.913233,1.4E-05,0.000157,-0.000143,0.0003
2891,47.913247,192.168.43.163,172.217.27.3,TCP,1454,"[TCP Retransmission] 51092  >  443 [PSH, ACK] Seq=4241 Ack=2920 Win=65800 Len=1400",,,,,,,,,,,,,,,,,,47.913404,47.913247,0.000157,5.4E-05,0.000103,-4.9E-05
2892,47.913404,172.217.27.3,192.168.43.163,TCP,54,443  >  51092 [ACK] Seq=2920 Ack=2841 Win=25216 Len=0,,,,,,,,,,,,,,,,,,47.913458,47.913404,5.4E-05,1E-05,4.4E-05,-3.4E-05
2893,47.913458,192.168.43.163,172.217.27.3,TLSv1.3,1420,Application Data,,,,,,,,,,,,,,,,,,47.913468,47.913458,1E-05,0.005829,-0.005819,0.011648
2894,47.913468,192.168.43.163,172.217.27.3,TCP,1420,"[TCP Retransmission] 51092  >  443 [PSH, ACK] Seq=5641 Ack=2920 Win=65800 Len=1366",,,,,,,,,,,,,,,,,,47.919297,47.913468,0.005829,0,0.005829,-0.005829
2895,47.919297,172.217.27.3,192.168.43.163,TLSv1.3,634,"Application Data, Application Data",,,,,,,,,,,,,,,,,,47.919297,47.919297,0,9E-05,-9E-05,0.00018
2896,47.919297,172.217.27.3,192.168.43.163,TLSv1.3,85,Application Data,,,,,,,,,,,,,,,,,,47.919387,47.919297,9E-05,3E-06,8.7E-05,-8.4E-05
2897,47.919387,192.168.43.163,172.217.27.3,TCP,54,51092  >  443 [ACK] Seq=7007 Ack=3531 Win=65188 Len=0,,,,,,,,,,,,,,,,,,47.91939,47.919387,3E-06,0.00053,-0.000527,0.001057
2898,47.91939,192.168.43.163,172.217.27.3,TCP,54,[TCP Dup ACK 2897#1] 51092  >  443 [ACK] Seq=7007 Ack=3531 Win=65188 Len=0,,,,,,,,,,,,,,,,,,47.91992,47.91939,0.00053,6E-06,0.000524,-0.000518
2899,47.91992,192.168.43.163,172.217.27.3,TLSv1.3,85,Application Data,,,,,,,,,,,,,,,,,,47.919926,47.91992,6E-06,0.052969,-0.052963,0.105932
2900,47.919926,192.168.43.163,172.217.27.3,TCP,85,"[TCP Retransmission] 51092  >  443 [PSH, ACK] Seq=7007 Ack=3531 Win=65188 Len=31",,,,,,,,,,,,,,,,,,47.972895,47.919926,0.052969,6.8E-05,0.052901,-0.052833
2901,47.972895,172.217.27.3,192.168.43.163,TCP,54,443  >  51092 [ACK] Seq=3531 Ack=4241 Win=26624 Len=0,,,,,,,,,,,,,,,,,,47.972963,47.972895,6.8E-05,0.000588,-0.00052,0.001108
2902,47.972963,172.217.27.3,192.168.43.163,TCP,54,443  >  51092 [ACK] Seq=3531 Ack=5641 Win=28032 Len=0,,,,,,,,,,,,,,,,,,47.973551,47.972963,0.000588,0.269415,-0.268827,0.538242
